name,,,,total,pct
LARRY A. ELDER,,"4,912","38,670","43,582",.490
KEVIN PAFFRATH,,331,"9,013","9,344",.105
KEVIN L. FAULCONER,,167,"5,754","5,921",.067
JOHN COX,,192,"4,692","4,884",.055
BRANDON M. ROSS,,108,"3,525","3,633",.041
